,59.57544,1.02224439865078E8
4.419729,52.455934,48.036205
3.865441,52.69868,48.833239
6.011724,51.86509,45.853366
4.740065,57.349397,52.609332
4.283887,53.846065,49.562178
4.200702,53.295794,49.095092
3.745803,52.064564,48.318761
5.337634,53.146038,47.808404
3.790529,53.151161,49.360632
4.20582,52.354283,48.148463
3.399203,53.051359,49.652156
4.492141,52.979239,48.487098
5.766403,53.078987,47.312584
3.747586,53.125808,49.378222
4.173785,52.42378,48.249995
3.678785,52.512099,48.833314
4.477248,51.665727,47.188479
11.784212,51.769989,39.985777
6.375353,57.688151,51.312798
5.285923,54.531223,49.2453
4.015886,52.448634,48.432748
2.923353,52.334796,49.411443
4.487916,51.85062,47.362704
3.216847,53.292865,50.076018
5.147929,52.397651,47.249722
3.66598,52.611193,48.945213
4.106033,51.696933,47.5909
6.939608,52.149903,45.210295
4.305585,53.078431,48.772846
3.950869,52.768385,48.817516
4.204891,53.248727,49.043836
5.713626,52.464242,46.750616
12.003897,55.911283,43.907386
4.489418,55.845014,51.355596
3.860727,52.603429,48.742702
4.442328,52.825814,48.383486
3.569646,51.951768,48.382122
7.547548,51.410036,43.862488
3.395475,53.706285,50.31081
3.531668,53.057321,49.525653
3.457462,51.996919,48.539457
3.420788,52.698503,49.277715
8.947422,51.336095,42.388673
5.058499,54.604949,49.54645
3.930555,51.942004,48.011449
4.225974,52.882864,48.65689
3.52327,51.550704,48.027434
8.660999,51.71166,43.050661
3.556771,55.095149,51.538378
3.867178,53.506277,49.639099
3.768087,52.284333,48.516246
4.672027,53.272866,48.600839
10.791449,52.900832,42.109383
6.228318,54.025266,47.796948
5.092912,53.698139,48.605227
4.165809,52.167584,48.001775
3.949241,53.353799,49.404558
7.46623,64.796192,57.329962
3.935565,53.161237,49.225672
3.567615,52.34234,48.774725
4.844705,51.953657,47.108952
4.491302,51.912316,47.421014
9.681522,52.191018,42.509496
4.176098,53.215962,49.039864
6.751844,54.304288,47.552444
5.68371,53.141253,47.457543
4.31498,54.381733,50.066753
5.282171,52.31344,47.031269
4.837422,53.778132,48.94071
3.106164,52.097416,48.991252
3.73923,51.613347,47.874117
3.633018,52.322614,48.689596
4.854308,52.224276,47.369968
3.921864,54.062455,50.140591
3.638439,53.467527,49.829088
4.2091,51.341776,47.132676
4.088909,53.110727,49.021818
8.172812,56.447162,48.27435
6.372566,55.171703,48.799137
4.49368,52.096551,47.602871
3.892004,51.616848,47.724844
3.450712,52.805582,49.35487
4.186517,52.474186,48.287669
3.261981,52.749678,49.487697
5.180888,53.212364,48.031476
4.707837,52.9065,48.198663
3.486242,52.655925,49.169683
4.367618,52.111011,47.743393
